date,gm,zone,name,stack,flag,picked_count
2026-07-07,Akash Sharma,North,AjmerHub_AJM_PL,EXT,Past,2
2026-07-07,Akash Sharma,North,AjmerHub_AJM_PL,EXT,Present,74
2026-07-07,Akash Sharma,North,AjmerHub_AJM_PL,FK,Future,16
2026-07-07,Akash Sharma,North,AjmerHub_AJM_PL,FK,Past,210
2026-07-07,Akash Sharma,North,AjmerHub_AJM_PL,FK,Present,1465
2026-07-07,Akash Sharma,North,AjmerHub_AJM_PL,MYE,Future,2
2026-07-07,Akash Sharma,North,AjmerHub_AJM_PL,MYE,Past,57
2026-07-07,Akash Sharma,North,AjmerHub_AJM_PL,MYE,Present,136
2026-07-07,Akash Sharma,North,AlwarHub_ALW_PL,EXT,Past,41
2026-07-07,Akash Sharma,North,AlwarHub_ALW_PL,EXT,Present,204
2026-07-07,Akash Sharma,North,AlwarHub_ALW_PL,FK,Future,27
2026-07-07,Akash Sharma,North,AlwarHub_ALW_PL,FK,Past,650
2026-07-07,Akash Sharma,North,AlwarHub_ALW_PL,FK,Present,2264
2026-07-07,Akash Sharma,North,AlwarHub_ALW_PL,MYE,Past,22
2026-07-07,Akash Sharma,North,AlwarHub_ALW_PL,MYE,Present,28
2026-07-07,Akash Sharma,North,BalotraHub_BLO_PL,EXT,Present,11
2026-07-07,Akash Sharma,North,BalotraHub_BLO_PL,FK,Future,54
2026-07-07,Akash Sharma,North,BalotraHub_BLO_PL,FK,Past,128
2026-07-07,Akash Sharma,North,BalotraHub_BLO_PL,FK,Present,1794
2026-07-07,Akash Sharma,North,BalotraHub_BLO_PL,MYE,Past,8
2026-07-07,Akash Sharma,North,BalotraHub_BLO_PL,MYE,Present,37
2026-07-07,Akash Sharma,North,BarmerHub_BMR_PL,FK,Future,3
2026-07-07,Akash Sharma,North,BarmerHub_BMR_PL,FK,Past,101
2026-07-07,Akash Sharma,North,BarmerHub_BMR_PL,FK,Present,33
2026-07-07,Akash Sharma,North,BeawarHub_BEA_PL,FK,Future,20
2026-07-07,Akash Sharma,North,BeawarHub_BEA_PL,FK,Past,493
2026-07-07,Akash Sharma,North,BeawarHub_BEA_PL,FK,Present,330
2026-07-07,Akash Sharma,North,BeawarHub_BEA_PL,MYE,Past,3
2026-07-07,Akash Sharma,North,BeawarHub_BEA_PL,MYE,Present,138
2026-07-07,Akash Sharma,North,BhankrotaHub_JAI_PL,EXT,Future,53
2026-07-07,Akash Sharma,North,BhankrotaHub_JAI_PL,EXT,Past,51
2026-07-07,Akash Sharma,North,BhankrotaHub_JAI_PL,EXT,Present,382
2026-07-07,Akash Sharma,North,BhankrotaHub_JAI_PL,FK,Future,393
2026-07-07,Akash Sharma,North,BhankrotaHub_JAI_PL,FK,Past,5013
2026-07-07,Akash Sharma,North,BhankrotaHub_JAI_PL,FK,Present,30106
2026-07-07,Akash Sharma,North,BhankrotaHub_JAI_PL,MYE,Future,42
2026-07-07,Akash Sharma,North,BhankrotaHub_JAI_PL,MYE,Past,871
2026-07-07,Akash Sharma,North,BhankrotaHub_JAI_PL,MYE,Present,1839
2026-07-07,Akash Sharma,North,BhankrotaHub_JAI_PL,MYS,Future,15
2026-07-07,Akash Sharma,North,BhankrotaHub_JAI_PL,MYS,Past,113
