date,gm,zone,name,stack,flag,picked_count
2026-06-01,Akash Sharma,North,AjmerHub_AJM_PL,EXT,Future,6
2026-06-01,Akash Sharma,North,AjmerHub_AJM_PL,EXT,Past,20
2026-06-01,Akash Sharma,North,AjmerHub_AJM_PL,EXT,Present,182
2026-06-01,Akash Sharma,North,AjmerHub_AJM_PL,FK,Future,124
2026-06-01,Akash Sharma,North,AjmerHub_AJM_PL,FK,Past,40
2026-06-01,Akash Sharma,North,AjmerHub_AJM_PL,FK,Present,1463
2026-06-01,Akash Sharma,North,AjmerHub_AJM_PL,MYE,Future,57
2026-06-01,Akash Sharma,North,AjmerHub_AJM_PL,MYE,Past,16
2026-06-01,Akash Sharma,North,AjmerHub_AJM_PL,MYE,Present,249
2026-06-01,Akash Sharma,North,AlwarHub_ALW_PL,EXT,Future,5
2026-06-01,Akash Sharma,North,AlwarHub_ALW_PL,EXT,Past,3
2026-06-01,Akash Sharma,North,AlwarHub_ALW_PL,EXT,Present,187
2026-06-01,Akash Sharma,North,AlwarHub_ALW_PL,FK,Future,434
2026-06-01,Akash Sharma,North,AlwarHub_ALW_PL,FK,Past,22
2026-06-01,Akash Sharma,North,AlwarHub_ALW_PL,FK,Present,2203
2026-06-01,Akash Sharma,North,AlwarHub_ALW_PL,MYE,Future,32
2026-06-01,Akash Sharma,North,AlwarHub_ALW_PL,MYE,Present,78
2026-06-01,Akash Sharma,North,BalotraHub_BLO_PL,EXT,Future,2
2026-06-01,Akash Sharma,North,BalotraHub_BLO_PL,EXT,Past,14
2026-06-01,Akash Sharma,North,BalotraHub_BLO_PL,EXT,Present,6
2026-06-01,Akash Sharma,North,BalotraHub_BLO_PL,FK,Future,20
2026-06-01,Akash Sharma,North,BalotraHub_BLO_PL,FK,Past,16
2026-06-01,Akash Sharma,North,BalotraHub_BLO_PL,FK,Present,1377
2026-06-01,Akash Sharma,North,BalotraHub_BLO_PL,MYE,Future,8
2026-06-01,Akash Sharma,North,BalotraHub_BLO_PL,MYE,Past,12
2026-06-01,Akash Sharma,North,BalotraHub_BLO_PL,MYE,Present,50
2026-06-01,Akash Sharma,North,BarmerHub_BMR_PL,FK,Future,23
2026-06-01,Akash Sharma,North,BarmerHub_BMR_PL,FK,Past,18
2026-06-01,Akash Sharma,North,BarmerHub_BMR_PL,FK,Present,257
2026-06-01,Akash Sharma,North,BeawarHub_BEA_PL,EXT,Present,1
2026-06-01,Akash Sharma,North,BeawarHub_BEA_PL,FK,Future,402
2026-06-01,Akash Sharma,North,BeawarHub_BEA_PL,FK,Past,7
2026-06-01,Akash Sharma,North,BeawarHub_BEA_PL,FK,Present,799
2026-06-01,Akash Sharma,North,BeawarHub_BEA_PL,MYE,Future,5
2026-06-01,Akash Sharma,North,BeawarHub_BEA_PL,MYE,Past,49
2026-06-01,Akash Sharma,North,BeawarHub_BEA_PL,MYE,Present,359
2026-06-01,Akash Sharma,North,BhankrotaHub_JAI_PL,EXT,Future,78
2026-06-01,Akash Sharma,North,BhankrotaHub_JAI_PL,EXT,Past,50
2026-06-01,Akash Sharma,North,BhankrotaHub_JAI_PL,EXT,Present,373
2026-06-01,Akash Sharma,North,BhankrotaHub_JAI_PL,FK,Future,3094
2026-06-01,Akash Sharma,North,BhankrotaHub_JAI_PL,FK,Past,1306
2026-06-01,Akash Sharma,North,BhankrotaHub_JAI_PL,FK,Present,29413
2026-06-01,Akash Sharma,North,BhankrotaHub_JAI_PL,MYE,Future,1413
2026-06-01,Akash Sharma,North,BhankrotaHub_JAI_PL,MYE,Past,60
2026-06-01,Akash Sharma,North,BhankrotaHub_JAI_PL,MYE,Present,3161
2026-06-01,Akash Sharma,North,BhankrotaHub_JAI_PL,MYS,Future,224
2026-06-01,Akash Sharma,North,BhankrotaHub_JAI_PL,MYS,Past,94
2026-06-01,Akash Sharma,North,BhankrotaHub_JAI_PL,MYS,Present,9077
2026-06-01,Akash Sharma,North,BharatpurHub_BTP_PL,EXT,Future,1
2026-06-01,Akash Sharma,North,BharatpurHub_BTP_PL,EXT,Present,5
2026-06-01,Akash Sharma,North,BharatpurHub_BTP_PL,FK,Future,9
2026-06-01,Akash Sharma,North,BharatpurHub_BTP_PL,FK,Past,6
2026-06-01,Akash Sharma,North,BharatpurHub_BTP_PL,FK,Present,1042
2026-06-01,Akash Sharma,North,BharatpurHub_BTP_PL,MYE,Present,5
2026-06-01,Akash Sharma,North,BhilwaraHub_BLW_PL,EXT,Future,17
2026-06-01,Akash Sharma,North,BhilwaraHub_BLW_PL,EXT,Past,5
2026-06-01,Akash Sharma,North,BhilwaraHub_BLW_PL,EXT,Present,319
2026-06-01,Akash Sharma,North,BhilwaraHub_BLW_PL,FK,Future,433
2026-06-01,Akash Sharma,North,BhilwaraHub_BLW_PL,FK,Past,21
2026-06-01,Akash Sharma,North,BhilwaraHub_BLW_PL,FK,Present,5756
2026-06-01,Akash Sharma,North,BhilwaraHub_BLW_PL,MYE,Future,556
2026-06-01,Akash Sharma,North,BhilwaraHub_BLW_PL,MYE,Past,63
2026-06-01,Akash Sharma,North,BhilwaraHub_BLW_PL,MYE,Present,2083
2026-06-01,Akash Sharma,North,BhiwadiHub_DHR_PL,EXT,Future,7
2026-06-01,Akash Sharma,North,BhiwadiHub_DHR_PL,EXT,Past,2
2026-06-01,Akash Sharma,North,BhiwadiHub_DHR_PL,EXT,Present,30
2026-06-01,Akash Sharma,North,BhiwadiHub_DHR_PL,FK,Future,44
2026-06-01,Akash Sharma,North,BhiwadiHub_DHR_PL,FK,Past,3
2026-06-01,Akash Sharma,North,BhiwadiHub_DHR_PL,FK,Present,1311
2026-06-01,Akash Sharma,North,BhiwadiHub_DHR_PL,MYE,Past,1
2026-06-01,Akash Sharma,North,BhiwadiHub_DHR_PL,MYE,Present,2
2026-06-01,Akash Sharma,North,BikanerHub_BKB_PL,EXT,Past,3
2026-06-01,Akash Sharma,North,BikanerHub_BKB_PL,EXT,Present,108
2026-06-01,Akash Sharma,North,BikanerHub_BKB_PL,FK,Future,414
2026-06-01,Akash Sharma,North,BikanerHub_BKB_PL,FK,Past,21
2026-06-01,Akash Sharma,North,BikanerHub_BKB_PL,FK,Present,2069
2026-06-01,Akash Sharma,North,BikanerHub_BKB_PL,MYE,Future,16
2026-06-01,Akash Sharma,North,BikanerHub_BKB_PL,MYE,Past,1
2026-06-01,Akash Sharma,North,BikanerHub_BKB_PL,MYE,Present,30
2026-06-01,Akash Sharma,North,ChoumuHub_JAI_PL,FK,Future,736
2026-06-01,Akash Sharma,North,ChoumuHub_JAI_PL,FK,Past,301
2026-06-01,Akash Sharma,North,ChoumuHub_JAI_PL,FK,Present,1374
2026-06-01,Akash Sharma,North,ChoumuHub_JAI_PL,MYE,Present,3
2026-06-01,Akash Sharma,North,DholpurHub_DLP_PL,EXT,Past,6
2026-06-01,Akash Sharma,North,DholpurHub_DLP_PL,EXT,Present,12
2026-06-01,Akash Sharma,North,DholpurHub_DLP_PL,FK,Present,285
2026-06-01,Akash Sharma,North,HanumangarhHub_HAN_PL,EXT,Future,1
2026-06-01,Akash Sharma,North,HanumangarhHub_HAN_PL,EXT,Past,6
2026-06-01,Akash Sharma,North,HanumangarhHub_HAN_PL,EXT,Present,3
2026-06-01,Akash Sharma,North,HanumangarhHub_HAN_PL,FK,Future,132
2026-06-01,Akash Sharma,North,HanumangarhHub_HAN_PL,FK,Past,4
2026-06-01,Akash Sharma,North,HanumangarhHub_HAN_PL,FK,Present,452
2026-06-01,Akash Sharma,North,HanumangarhHub_HAN_PL,MYE,Future,2
2026-06-01,Akash Sharma,North,HanumangarhHub_HAN_PL,MYE,Past,7
2026-06-01,Akash Sharma,North,HanumangarhHub_HAN_PL,MYE,Present,7
2026-06-01,Akash Sharma,North,HawamahalHub_JAI_PL,EXT,Future,29
2026-06-01,Akash Sharma,North,HawamahalHub_JAI_PL,EXT,Past,49
2026-06-01,Akash Sharma,North,HawamahalHub_JAI_PL,EXT,Present,245
2026-06-01,Akash Sharma,North,HawamahalHub_JAI_PL,FK,Future,2587
2026-06-01,Akash Sharma,North,HawamahalHub_JAI_PL,FK,Past,476
2026-06-01,Akash Sharma,North,HawamahalHub_JAI_PL,FK,Present,29774
2026-06-01,Akash Sharma,North,HawamahalHub_JAI_PL,MYE,Future,264
2026-06-01,Akash Sharma,North,HawamahalHub_JAI_PL,MYE,Past,274
2026-06-01,Akash Sharma,North,HawamahalHub_JAI_PL,MYE,Present,587
