date,gm,zone,name,stack,flag,picked_count
2026-05-01,Akash Sharma,North,AjmerHub_AJM_PL,EXT,Past,22
2026-05-01,Akash Sharma,North,AjmerHub_AJM_PL,EXT,Present,70
2026-05-01,Akash Sharma,North,AjmerHub_AJM_PL,FK,Future,129
2026-05-01,Akash Sharma,North,AjmerHub_AJM_PL,FK,Past,8
2026-05-01,Akash Sharma,North,AjmerHub_AJM_PL,FK,Present,1177
2026-05-01,Akash Sharma,North,AjmerHub_AJM_PL,MYE,Future,73
2026-05-01,Akash Sharma,North,AjmerHub_AJM_PL,MYE,Present,129
2026-05-01,Akash Sharma,North,AlwarHub_ALW_PL,EXT,Future,4
2026-05-01,Akash Sharma,North,AlwarHub_ALW_PL,EXT,Past,5
2026-05-01,Akash Sharma,North,AlwarHub_ALW_PL,EXT,Present,188
2026-05-01,Akash Sharma,North,AlwarHub_ALW_PL,FK,Future,83
2026-05-01,Akash Sharma,North,AlwarHub_ALW_PL,FK,Past,15
2026-05-01,Akash Sharma,North,AlwarHub_ALW_PL,FK,Present,2587
2026-05-01,Akash Sharma,North,AlwarHub_ALW_PL,MYE,Future,3
2026-05-01,Akash Sharma,North,AlwarHub_ALW_PL,MYE,Present,2
2026-05-01,Akash Sharma,North,BalotraHub_BLO_PL,FK,Future,39
2026-05-01,Akash Sharma,North,BalotraHub_BLO_PL,FK,Past,6
2026-05-01,Akash Sharma,North,BalotraHub_BLO_PL,FK,Present,1068
2026-05-01,Akash Sharma,North,BarmerHub_BMR_PL,FK,Future,19
2026-05-01,Akash Sharma,North,BarmerHub_BMR_PL,FK,Past,155
2026-05-01,Akash Sharma,North,BarmerHub_BMR_PL,FK,Present,87
2026-05-01,Akash Sharma,North,BeawarHub_BEA_PL,EXT,Future,2
2026-05-01,Akash Sharma,North,BeawarHub_BEA_PL,EXT,Past,1
2026-05-01,Akash Sharma,North,BeawarHub_BEA_PL,EXT,Present,1
2026-05-01,Akash Sharma,North,BeawarHub_BEA_PL,FK,Future,49
2026-05-01,Akash Sharma,North,BeawarHub_BEA_PL,FK,Past,2
2026-05-01,Akash Sharma,North,BeawarHub_BEA_PL,FK,Present,457
2026-05-01,Akash Sharma,North,BhankrotaHub_JAI_PL,EXT,Future,16
2026-05-01,Akash Sharma,North,BhankrotaHub_JAI_PL,EXT,Past,17
2026-05-01,Akash Sharma,North,BhankrotaHub_JAI_PL,EXT,Present,357
2026-05-01,Akash Sharma,North,BhankrotaHub_JAI_PL,FK,Future,790
2026-05-01,Akash Sharma,North,BhankrotaHub_JAI_PL,FK,Past,146
2026-05-01,Akash Sharma,North,BhankrotaHub_JAI_PL,FK,Present,30825
2026-05-01,Akash Sharma,North,BhankrotaHub_JAI_PL,MYE,Future,68
2026-05-01,Akash Sharma,North,BhankrotaHub_JAI_PL,MYE,Past,9
2026-05-01,Akash Sharma,North,BhankrotaHub_JAI_PL,MYE,Present,105
2026-05-01,Akash Sharma,North,BhankrotaHub_JAI_PL,MYS,Future,8
2026-05-01,Akash Sharma,North,BhankrotaHub_JAI_PL,MYS,Past,13
2026-05-01,Akash Sharma,North,BhankrotaHub_JAI_PL,MYS,Present,110
2026-05-01,Akash Sharma,North,BharatpurHub_BTP_PL,EXT,Future,2
2026-05-01,Akash Sharma,North,BharatpurHub_BTP_PL,EXT,Present,3
2026-05-01,Akash Sharma,North,BharatpurHub_BTP_PL,FK,Past,22
2026-05-01,Akash Sharma,North,BharatpurHub_BTP_PL,FK,Present,875
2026-05-01,Akash Sharma,North,BharatpurHub_BTP_PL,MYE,Present,3
2026-05-01,Akash Sharma,North,BhilwaraHub_BLW_PL,EXT,Future,21
2026-05-01,Akash Sharma,North,BhilwaraHub_BLW_PL,EXT,Past,1
2026-05-01,Akash Sharma,North,BhilwaraHub_BLW_PL,EXT,Present,286
2026-05-01,Akash Sharma,North,BhilwaraHub_BLW_PL,FK,Future,171
2026-05-01,Akash Sharma,North,BhilwaraHub_BLW_PL,FK,Past,44
2026-05-01,Akash Sharma,North,BhilwaraHub_BLW_PL,FK,Present,8819
2026-05-01,Akash Sharma,North,BhilwaraHub_BLW_PL,MYE,Future,2
2026-05-01,Akash Sharma,North,BhilwaraHub_BLW_PL,MYE,Present,454
2026-05-01,Akash Sharma,North,BhiwadiHub_DHR_PL,EXT,Future,6
2026-05-01,Akash Sharma,North,BhiwadiHub_DHR_PL,EXT,Past,1
2026-05-01,Akash Sharma,North,BhiwadiHub_DHR_PL,EXT,Present,22
2026-05-01,Akash Sharma,North,BhiwadiHub_DHR_PL,FK,Future,4
2026-05-01,Akash Sharma,North,BhiwadiHub_DHR_PL,FK,Past,15
2026-05-01,Akash Sharma,North,BhiwadiHub_DHR_PL,FK,Present,298
2026-05-01,Akash Sharma,North,BikanerHub_BKB_PL,EXT,Future,1
2026-05-01,Akash Sharma,North,BikanerHub_BKB_PL,EXT,Past,6
2026-05-01,Akash Sharma,North,BikanerHub_BKB_PL,EXT,Present,76
2026-05-01,Akash Sharma,North,BikanerHub_BKB_PL,FK,Future,256
2026-05-01,Akash Sharma,North,BikanerHub_BKB_PL,FK,Past,14
2026-05-01,Akash Sharma,North,BikanerHub_BKB_PL,FK,Present,2387
2026-05-01,Akash Sharma,North,BikanerHub_BKB_PL,MYE,Present,2
2026-05-01,Akash Sharma,North,ChoumuHub_JAI_PL,FK,Future,141
2026-05-01,Akash Sharma,North,ChoumuHub_JAI_PL,FK,Past,152
2026-05-01,Akash Sharma,North,ChoumuHub_JAI_PL,FK,Present,950
2026-05-01,Akash Sharma,North,DholpurHub_DLP_PL,FK,Past,13
2026-05-01,Akash Sharma,North,DholpurHub_DLP_PL,FK,Present,26
2026-05-01,Akash Sharma,North,HanumangarhHub_HAN_PL,EXT,Present,4
2026-05-01,Akash Sharma,North,HanumangarhHub_HAN_PL,FK,Future,3
2026-05-01,Akash Sharma,North,HanumangarhHub_HAN_PL,FK,Past,1
2026-05-01,Akash Sharma,North,HanumangarhHub_HAN_PL,FK,Present,315
2026-05-01,Akash Sharma,North,HanumangarhHub_HAN_PL,MYE,Future,1
2026-05-01,Akash Sharma,North,HanumangarhHub_HAN_PL,MYE,Present,3
2026-05-01,Akash Sharma,North,HawamahalHub_JAI_PL,EXT,Future,8
2026-05-01,Akash Sharma,North,HawamahalHub_JAI_PL,EXT,Past,47
2026-05-01,Akash Sharma,North,HawamahalHub_JAI_PL,EXT,Present,215
2026-05-01,Akash Sharma,North,HawamahalHub_JAI_PL,FK,Future,1341
